Governança;;;Escala;;Margem;;Eficiência;;Retorno;;;Dívida
Ticker;Empresa;Segmento de listagem;Patrim Liq; Liquidez média diária;Margem EBIT;Margem Líquida;ROIC;ROE;Div. Yield;CAGR do lucro em 5 anos;Soma Div. + CAGR;Dívida Líquida/EBIT
B3SA3;B3;NM;24976,8;767,492;0,5992;0,4497;0,1648;0,1517;0,0354;0,2264;0,2618;-1,56
WEGE3;Weg;NM;11122,5;403,213;0,1785;0,1307;0,2054;0,1887;0,005;0,1115;0,1165;-0,65
LREN3;Lojas Renner;NM;5287,76;301,039;0,1729;0,1647;0,1311;0,238;0,0078;0,1845;0,1923;1,02
ELET3;Eletrobras;N1;75861,6;210,054;0,3861;0,2474;0,0775;0,106;0,0481;0;0,0481;2,58
EQTL3;Equatorial;NM;9718,56;167,641;0,3014;0,1808;0,1632;0,2969;0,0145;0,2832;0,2977;2,09
CMIG4;Cemig;N1;17297,7;136,686;0,204;0,082;0,1092;0,1173;0,0411;-0,0006;0,0405;2,76
MULT3;Multiplan;N2;6408,24;125,386;0,6221;0,837;0,0775;0,1497;0,0212;0,0498;0,071;1,37
SULA11;Sul America;N2;8625,01;116,819;0,0692;0,133;0,136;0,3198;0,0467;0,16;0,2067;-11,05
VIVT3;Telef Brasil;0;69847,3;109,666;0,1408;0,1097;0,0649;0,068;0,0767;0,0026;0,0793;0,65
HYPE3;Hypera;NM;9295,56;104,061;0,2435;0,314;0,0797;0,1311;0,0344;0,2365;0,2709;0,54
QUAL3;Qualicorp;NM;1773,95;98,9632;0,383;0,1944;0,3187;0,2217;0,0088;0,2249;0,2337;0,6
TAEE11;Taesa;N2;5768,37;98,8318;0,6052;0,5725;0,1418;0,2794;0,0987;0,0207;0,1194;2,12
PSSA3;Porto Seguro;NM;8874,2;98,177;0,7951;0,0905;0,6835;0,1859;0,0433;0,095;0,1383;-7,95
CPLE6;Copel;N1;20057,4;93,6402;0,2432;0,1924;0,1069;0,1684;0,0447;0,0908;0,1355;1,39
EGIE3;Engie Brasil;NM;7144,26;79,7804;0,3657;0,2114;0,1473;0,3337;0,0397;0,1081;0,1478;2,69
ELET6;Eletrobras;N1;75861,6;78,5638;0,3861;0,2474;0,0775;0,106;0,0517;0;0,0517;2,58
SAPR11;Sanepar;N2;6654,29;74,3771;0,3745;0,2226;0,1534;0,164;0,0426;0,207;0,2496;1,62
CPFE3;CPFL Energia;NM;14534,7;72,6696;0,1691;0,1206;0,1264;0,2422;0,059;0,254;0,313;2,46
JHSF3;JHSF Part;NM;3819,82;63,7857;0,4878;0,6862;0,0761;0,1743;0,0197;0,4995;0,5192;0,47
ENBR3;Energias BR;NM;9879,76;55,8565;0,1604;0,0974;0,101;0,1323;0,0241;0,1208;0,1449;2,5
RAPT4;Randon Part;N1;1743,36;55,0387;0,0959;0,057;0,0934;0,1303;0,0158;0,0406;0,0564;2,81
